date,HK_H,HK_N,HK_P,KR_H,KR_N,KR_P,MY_H,MY_N,MY_P,TH_H,TH_N,TH_P
2016-03-31,66.5,229.3,295.8,79.3,92.7,172.0,69.6,93.2,162.8,85.8,80.3,166.1
2016-06-30,66.4,234.5,300.9,80.2,92.1,172.3,69.5,92.7,162.2,85.2,80.2,165.4
2016-09-30,66.7,235.1,301.8,81.4,90.8,172.2,69.3,94.6,163.9,84.8,78.6,163.3
2016-12-31,67.6,238.9,306.5,82.9,89.6,172.6,69.2,97.2,166.4,84.7,77.0,161.8
2017-03-31,67.6,249.3,316.9,82.9,89.0,171.9,67.9,96.9,164.8,83.4,76.0,159.3
2017-06-30,68.7,262.4,331.1,83.5,89.7,173.2,67.0,96.9,163.9,82.9,76.5,159.4
2017-09-30,69.5,265.6,335.1,84.1,89.0,173.0,66.3,95.8,162.1,82.7,74.8,157.6
2017-12-31,70.8,272.6,343.4,84.8,87.8,172.6,66.2,95.7,161.9,83.2,74.8,158.0
2018-03-31,71.3,278.2,349.5,85.1,88.3,173.4,66.2,96.6,162.8,82.6,74.2,156.9
2018-06-30,71.8,273.5,345.4,85.5,88.9,174.4,67.9,97.0,164.9,82.4,75.1,157.4
2018-09-30,71.4,261.5,332.9,86.2,90.0,176.2,67.9,96.2,164.1,82.4,74.9,157.3
2018-12-31,72.7,262.7,335.4,86.8,90.4,177.2,68.0,96.0,164.0,83.3,75.6,158.9
2019-03-31,73.9,262.0,335.9,86.7,91.7,178.4,67.9,95.6,163.5,82.9,75.5,158.4
2019-06-30,76.6,265.0,341.6,87.3,93.5,180.9,67.8,97.3,165.1,82.8,75.3,158.0
2019-09-30,79.9,266.4,346.3,88.3,94.9,183.1,67.9,96.0,163.9,83.5,74.3,157.8
2019-12-31,81.6,267.7,349.3,89.6,95.5,185.1,68.1,96.0,164.2,84.7,74.7,159.4
2020-03-31,83.5,284.4,367.9,90.0,98.5,188.5,67.9,97.2,165.1,85.1,77.7,162.8
2020-06-30,86.3,286.5,372.8,92.5,101.4,193.9,71.8,103.7,175.5,89.1,81.1,170.1
2020-09-30,89.2,303.2,392.3,94.7,103.3,198.1,74.5,104.2,178.7,92.2,83.2,175.4
2020-12-31,91.6,292.4,383.9,97.1,103.6,200.6,76.3,105.4,181.8,95.3,85.6,181.0
2021-03-31,91.7,296.9,388.6,98.3,104.4,202.7,76.6,106.3,182.9,96.6,87.3,183.9
2021-06-30,92.0,304.6,396.6,98.7,105.2,204.0,73.2,102.8,176.0,95.2,86.3,181.5
2021-09-30,92.6,288.2,380.8,99.1,106.1,205.2,73.4,103.5,176.9,95.2,88.6,183.9
2021-12-31,93.1,275.4,368.5,98.7,106.9,205.6,72.9,101.8,174.7,95.7,88.5,184.1
2022-03-31,93.9,287.1,381.1,97.9,107.0,204.9,71.4,99.1,170.5,94.8,88.6,183.4
2022-06-30,94.6,288.9,383.5,98.0,108.4,206.3,69.2,95.2,164.4,93.8,88.5,182.3
2022-09-30,95.3,278.7,374.0,97.6,110.8,208.3,67.1,89.1,156.3,92.6,87.6,180.3
2022-12-31,96.3,276.7,373.0,97.3,111.7,209.0,66.6,87.5,154.1,92.6,86.1,178.7
2023-03-31,96.4,279.4,375.8,94.1,114.3,208.4,66.4,86.9,153.3,91.6,85.7,177.3
2023-06-30,96.3,277.6,373.9,94.1,114.2,208.2,67.3,88.3,155.7,91.6,85.9,177.5
2023-09-30,94.9,269.9,364.7,94.0,114.6,208.6,68.4,88.9,157.3,91.7,85.8,177.5
2023-12-31,93.3,269.7,362.9,93.0,112.9,205.9,69.4,89.6,159.0,92.1,85.5,177.6
2024-03-31,91.5,266.6,358.1,91.2,112.2,203.4,69.5,89.4,158.8,91.4,85.6,177.0
2024-06-30,90.0,249.5,339.5,90.4,111.6,202.0,69.1,88.5,157.6,90.2,84.3,174.5
2024-09-30,88.8,245.9,334.7,90.1,111.2,201.3,69.2,86.1,155.3,89.4,82.0,171.4
2024-12-31,87.8,239.2,326.9,89.6,110.6,200.3,69.4,87.4,156.8,88.8,81.8,170.6
2025-03-31,87.5,243.0,330.4,89.5,111.3,200.8,69.5,87.3,156.8,87.5,81.2,168.8
2025-06-30,87.6,247.6,335.1,89.7,110.8,200.5,69.8,88.0,157.8,87.2,75.3,162.5
2025-09-30,87.7,244.7,332.4,89.4,110.9,200.2,69.9,88.4,158.3,87.3,78.8,166.0
2025-12-31,87.8,240.7,328.5,88.6,110.4,199.0,69.8,88.6,158.4,87.5,68.5,156.0
