date,HK_P,KR_H,KR_N,KR_P,MY_P,TH_P
2016-03-31,25.1,9.8,34.3,17.1,16.2,14.5
2016-06-30,25.6,9.8,33.9,17.1,16.2,14.4
2016-09-30,25.7,10.0,33.3,17.1,16.3,14.1
2016-12-31,26.2,10.3,32.6,17.1,16.5,13.9
2017-03-31,27.3,10.5,32.0,17.1,16.4,13.7
2017-06-30,28.7,10.8,31.8,17.3,16.3,13.7
2017-09-30,29.1,10.9,31.3,17.3,16.1,13.5
2017-12-31,29.9,11.0,30.9,17.2,16.0,13.5
2018-03-31,30.6,11.0,31.2,17.4,16.1,13.4
2018-06-30,30.6,11.0,31.7,17.5,16.4,13.4
2018-09-30,29.8,11.1,32.4,17.7,16.3,13.4
2018-12-31,30.4,11.2,32.9,17.8,16.3,13.5
2019-03-31,30.6,11.2,33.6,18.0,16.3,13.5
2019-06-30,31.3,11.2,34.4,18.2,16.5,13.6
2019-09-30,32.0,11.1,34.9,18.3,16.3,13.5
2019-12-31,32.5,11.1,35.1,18.2,16.3,13.6
2020-03-31,34.3,10.9,35.8,18.3,16.3,13.8
2020-06-30,34.5,10.9,36.3,18.4,17.1,14.3
2020-09-30,35.7,11.0,36.3,18.6,17.1,14.5
2020-12-31,34.4,11.3,35.8,18.6,17.1,14.9
2021-03-31,34.4,11.6,35.3,18.8,17.1,15.0
2021-06-30,34.7,11.8,34.7,18.9,16.3,14.7
2021-09-30,32.9,12.0,34.4,19.1,16.2,14.9
2021-12-31,31.5,12.1,34.5,19.3,15.9,14.8
2022-03-31,32.5,12.1,35.0,19.4,15.5,14.7
2022-06-30,32.8,12.1,36.3,19.8,14.9,14.6
2022-09-30,32.7,12.2,38.2,20.4,14.3,14.5
2022-12-31,34.3,12.3,39.8,20.9,14.3,14.5
2023-03-31,35.5,12.1,41.4,21.4,14.4,14.5
2023-06-30,36.3,12.2,41.6,21.5,14.8,14.8
2023-09-30,36.5,12.3,41.8,21.6,15.0,15.0
2023-12-31,37.3,12.1,41.0,21.4,15.3,15.2
2024-03-31,37.4,11.9,40.2,21.0,15.4,15.4
2024-06-30,35.8,11.8,39.4,20.7,15.3,15.3
2024-09-30,35.5,11.7,38.7,20.5,15.1,15.2
2024-12-31,34.7,11.6,38.0,20.3,15.3,15.2
2025-03-31,35.1,11.5,38.1,20.2,15.4,15.0
2025-06-30,35.0,11.4,37.7,19.9,15.5,14.4
2025-09-30,34.1,11.3,37.6,19.8,15.5,14.6
2025-12-31,33.6,11.2,37.4,19.6,15.5,13.5
