date,HK,KR,MY,TH,US
2016-01-31,0.75,1.5,3.25,1.5,0.375
2016-02-29,0.75,1.5,3.25,1.5,0.375
2016-03-31,0.75,1.5,3.25,1.5,0.375
2016-04-30,0.75,1.5,3.25,1.5,0.375
2016-05-31,0.75,1.5,3.25,1.5,0.375
2016-06-30,0.75,1.25,3.25,1.5,0.375
2016-07-31,0.75,1.25,3.0,1.5,0.375
2016-08-31,0.75,1.25,3.0,1.5,0.375
2016-09-30,0.75,1.25,3.0,1.5,0.375
2016-10-31,0.75,1.25,3.0,1.5,0.375
2016-11-30,0.75,1.25,3.0,1.5,0.375
2016-12-31,1.0,1.25,3.0,1.5,0.625
2017-01-31,1.0,1.25,3.0,1.5,0.625
2017-02-28,1.0,1.25,3.0,1.5,0.625
2017-03-31,1.25,1.25,3.0,1.5,0.875
2017-04-30,1.25,1.25,3.0,1.5,0.875
2017-05-31,1.25,1.25,3.0,1.5,0.875
2017-06-30,1.5,1.25,3.0,1.5,1.125
2017-07-31,1.5,1.25,3.0,1.5,1.125
2017-08-31,1.5,1.25,3.0,1.5,1.125
2017-09-30,1.5,1.25,3.0,1.5,1.125
2017-10-31,1.5,1.25,3.0,1.5,1.125
2017-11-30,1.5,1.5,3.0,1.5,1.125
2017-12-31,1.75,1.5,3.0,1.5,1.375
2018-01-31,1.75,1.5,3.25,1.5,1.375
2018-02-28,1.75,1.5,3.25,1.5,1.375
2018-03-31,2.0,1.5,3.25,1.5,1.625
2018-04-30,2.0,1.5,3.25,1.5,1.625
2018-05-31,2.0,1.5,3.25,1.5,1.625
2018-06-30,2.25,1.5,3.25,1.5,1.875
2018-07-31,2.25,1.5,3.25,1.5,1.875
2018-08-31,2.25,1.5,3.25,1.5,1.875
2018-09-30,2.5,1.5,3.25,1.5,2.125
2018-10-31,2.5,1.5,3.25,1.5,2.125
2018-11-30,2.5,1.75,3.25,1.5,2.125
2018-12-31,2.75,1.75,3.25,1.75,2.375
2019-01-31,2.75,1.75,3.25,1.75,2.375
2019-02-28,2.75,1.75,3.25,1.75,2.375
2019-03-31,2.75,1.75,3.25,1.75,2.375
2019-04-30,2.75,1.75,3.25,1.75,2.375
2019-05-31,2.75,1.75,3.0,1.75,2.375
2019-06-30,2.75,1.75,3.0,1.75,2.375
2019-07-31,2.75,1.5,3.0,1.75,2.375
2019-08-31,2.5,1.5,3.0,1.5,2.125
2019-09-30,2.25,1.5,3.0,1.5,1.875
2019-10-31,2.0,1.25,3.0,1.5,1.625
2019-11-30,2.0,1.25,3.0,1.25,1.625
2019-12-31,2.49,1.25,3.0,1.25,1.625
2020-01-31,2.0,1.25,2.75,1.25,1.625
2020-02-29,2.0,1.25,2.75,1.0,1.625
2020-03-31,1.65,0.75,2.5,0.75,0.125
2020-04-30,1.11,0.75,2.5,0.75,0.125
2020-05-31,0.62,0.5,2.0,0.5,0.125
2020-06-30,0.5,0.5,2.0,0.5,0.125
2020-07-31,0.5,0.5,1.75,0.5,0.125
2020-08-31,0.5,0.5,1.75,0.5,0.125
2020-09-30,0.5,0.5,1.75,0.5,0.125
2020-10-31,0.5,0.5,1.75,0.5,0.125
2020-11-30,0.5,0.5,1.75,0.5,0.125
2020-12-31,0.5,0.5,1.75,0.5,0.125
2021-01-31,0.5,0.5,1.75,0.5,0.125
2021-02-28,0.5,0.5,1.75,0.5,0.125
2021-03-31,0.5,0.5,1.75,0.5,0.125
2021-04-30,0.5,0.5,1.75,0.5,0.125
2021-05-31,0.5,0.5,1.75,0.5,0.125
2021-06-30,0.5,0.5,1.75,0.5,0.125
2021-07-31,0.5,0.5,1.75,0.5,0.125
2021-08-31,0.5,0.75,1.75,0.5,0.125
2021-09-30,0.5,0.75,1.75,0.5,0.125
2021-10-31,0.5,0.75,1.75,0.5,0.125
