FREQ,Frequency,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,TIME_FORMAT,Time Format,COMPILATION,DECIMALS,Decimals,SOURCE_REF,SUPP_INFO_BREAKS,TITLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-01,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-02,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-03,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-04,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-05,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-06,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-07,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-08,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-09,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-10,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-11,0.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2016-12,1.0,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-01,1.0,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-02,1.0,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-03,1.25,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-04,1.25,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-05,1.25,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-06,1.5,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-07,1.5,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-08,1.5,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-09,1.5,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-10,1.5,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-11,1.5,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2017-12,1.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2018-01,1.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2018-02,1.75,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2018-03,2.0,A,Normal value,F,Free,
M,Monthly,HK,Hong Kong SAR,368,Per cent per year,0,Units,,,Official base rate.,4,Four,Hong Kong Monetary Authority,, Central bank policy rates - Hong Kong SAR - Monthly - End of period,2018-04,2.0,A,Normal value,F,Free,
