FREQ,Frequency,BORROWERS_CTY,Borrowers' country,TC_BORROWERS,Borrowing sector,TC_LENDERS,Lending sector,VALUATION,Valuation method,UNIT_TYPE,Unit type,TC_ADJUST,Adjustment,COLLECTION,Collection Indicator,DECIMALS,Decimals,UNIT_MULT,Unit Multiplier,UNIT_MEASURE,Unit of measure,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,OBS_PRE_BREAK,OBS_CONF,Observation confidentiality
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2016-Q1,166.1,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2016-Q2,165.4,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2016-Q3,163.3,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2016-Q4,161.8,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2017-Q1,159.3,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2017-Q2,159.4,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2017-Q3,157.6,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2017-Q4,158.0,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2018-Q1,156.9,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2018-Q2,157.4,A,Normal value,,F,Free
Q,Quarterly,TH,Thailand,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,E,End of period,1,One,0,Units,367,Per cent,Thailand - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,2018-Q3,157.3,A,Normal value,,F,Free
