FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2016-Q1,34.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2016-Q2,33.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2016-Q3,33.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2016-Q4,32.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2017-Q1,32.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2017-Q2,31.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2017-Q3,31.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2017-Q4,30.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2018-Q1,31.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2018-Q2,31.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2018-Q3,32.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2018-Q4,33.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2019-Q1,33.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2019-Q2,34.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2019-Q3,35.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2019-Q4,35.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2020-Q1,36.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2020-Q2,36.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2020-Q3,36.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2020-Q4,36.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2021-Q1,35.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2021-Q2,35.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2021-Q3,34.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2021-Q4,34.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2022-Q1,35.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2022-Q2,36.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2022-Q3,38.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2022-Q4,40.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2023-Q1,42.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2023-Q2,42.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2023-Q3,42.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2023-Q4,42.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2024-Q1,41.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2024-Q2,40.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2024-Q3,39.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2024-Q4,38.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2025-Q1,37.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2025-Q2,37.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2025-Q3,36.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2025-Q4,36.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2016-Q1,17.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2016-Q2,17.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2016-Q3,17.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2016-Q4,17.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2017-Q1,17.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2017-Q2,17.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2017-Q3,17.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2017-Q4,17.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2018-Q1,17.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2018-Q2,17.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2018-Q3,17.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2018-Q4,17.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2019-Q1,18.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2019-Q2,18.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2019-Q3,18.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2019-Q4,18.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2020-Q1,18.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2020-Q2,18.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2020-Q3,18.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2020-Q4,18.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2021-Q1,18.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2021-Q2,18.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2021-Q3,19.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2021-Q4,19.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2022-Q1,19.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2022-Q2,19.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2022-Q3,20.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2022-Q4,20.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2023-Q1,21.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2023-Q2,21.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2023-Q3,21.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2023-Q4,21.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2024-Q1,21.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2024-Q2,21.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2024-Q3,21.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2024-Q4,20.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q1,20.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q2,20.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q3,20.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q4,19.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q1,9.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q2,9.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q3,10.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q4,10.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2017-Q1,10.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2017-Q2,10.8,F,Free,,A,Normal value
