FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,1999-Q1,65.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,1999-Q2,61.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,1999-Q3,58.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,1999-Q4,53.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2000-Q1,51.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2000-Q2,49.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2000-Q3,48.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2000-Q4,46.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2001-Q1,45.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2001-Q2,44.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2001-Q3,43.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2001-Q4,41.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2002-Q1,40.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2002-Q2,39.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2002-Q3,38.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2002-Q4,37.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2003-Q1,37.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2003-Q2,37.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2003-Q3,37.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2003-Q4,36.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2004-Q1,35.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2004-Q2,34.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2004-Q3,33.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2004-Q4,31.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2005-Q1,31.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2005-Q2,31.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2005-Q3,31.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2005-Q4,31.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2006-Q1,32.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2006-Q2,32.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2006-Q3,33.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2006-Q4,34.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2007-Q1,34.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2007-Q2,35.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2007-Q3,35.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2007-Q4,35.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2008-Q1,36.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2008-Q2,37.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2008-Q3,38.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2008-Q4,40.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2009-Q1,40.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2009-Q2,40.4,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2009-Q3,40.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,N,Non-financial corporations,,,367,Per cent,0,Units,1,One,Korea - Non-financial corporations,2009-Q4,39.8,F,Free,,A,Normal value
